Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Italy,ITF3,4.7,0.3,2.5,9,7.1,3.8,5.6,4.4,1
Italy,ITF4,4.2,1,2.8,8.7,9.2,5.2,5.9,4.3,2.2
Italy,ITF5,5.3,1.9,2.9,9.7,9.2,6.1,5.9,4.6,3
Italy,ITF6,5.1,0.5,2.6,6.2,8.7,5.2,4.5,4.4,2.4
Italy,ITG1,4.4,0.5,2.6,9.1,7.8,5.4,4.8,4.5,3.1
Italy,ITG2,3.8,2.1,3.2,9.2,9.1,7,5.6,6.2,3.6
Italy,ITH1,5.1,8.8,6,10,9.9,3.1,8.5,6.4,2.2
Italy,ITH2,6.7,7.3,5,10,10,3.8,8,6.7,2.2
Italy,ITH3,5.5,6.9,5,10,9.6,0,8.3,6.5,3.4
Italy,ITH4,6,6.7,5.2,10,9,1.2,7.5,6.3,4
Italy,ITH5,5.8,7.3,5.7,9.8,9.5,1.7,8.5,6.6,3.4
Italy,ITI1,4.9,6.6,4.8,10,9.6,5.5,7.9,6.3,3.6
Italy,ITI2,6.6,5.9,4.3,9.8,9.6,6,7.9,6.2,3.7
Italy,ITI3,5.5,5.9,4.6,10,9.8,6.5,8,6.3,2.8
Italy,ITI4,6.7,4.8,4.9,9.8,8.7,5.9,7.5,6.2,2.2
Japan,JPA,7.3,8.7,4.2,9.7,9.7,7.1,3.6,5.8,5.5
Japan,JPB,7,9.5,4,10,9,5.9,3.7,5.9,5.6
Japan,JPC,7.7,9.7,4.5,9.8,9.8,4.2,3.6,6.9,5.3
Japan,JPD,9,9.3,5.5,9.7,10,2.3,4,9.9,4.7
Japan,JPE,7.1,9.8,4.5,10,10,4.1,3.9,7.1,7.9
Japan,JPF,7.6,9.8,4.9,9.8,9.9,4.4,4,7.8,5.7
Japan,JPG,8.3,8.8,4.4,9.1,9.8,5,3.7,8.8,7.1
Japan,JPH,8.2,9.8,4.3,9.7,10,5.6,3.5,6.5,7.6
Japan,JPI,7.3,9.6,3.8,9.3,9.8,5,3.5,5.6,6.3
Japan,JPJ,7.7,9,3.8,9.7,9.9,4.2,3.5,5.7,5.8
Korea,KR01,8.8,7.8,3.5,7.5,8.8,0,7,10,2.1
Korea,KR02,7.7,7.9,3.3,6.5,7,3.2,7.4,7.4,2.7
Korea,KR03,6.9,8.5,2.9,8.1,7.4,1.2,7.7,7.2,3.2
Korea,KR04,6.5,8.6,2.7,7.7,7.5,0,7.4,7.4,3.2
Korea,KR05,7.1,8.3,2.9,7.1,7.9,0,6.8,8.7,2.8
Korea,KR06,6.4,7.9,2.6,8.2,7.4,1.3,7.4,7.2,2.9
Korea,KR07,7.4,9.7,3.2,5.9,9.3,3.7,6.6,6.5,2.6
Luxembourg,LU00,8,7,8.3,9.1,7.5,4.1,10,7.3,6.1
Mexico,ME01,1.9,6.5,0.8,1.2,2.5,6.9,0.2,1.7,0.9
Mexico,ME02,1.9,6.7,1.4,0,0.8,8,0,2.9,0.9
Mexico,ME03,2.5,7.5,1.5,0,2.5,8.4,0,3.3,0.4
Mexico,ME04,1.5,8,0.8,0,2.6,9.4,4.4,0.5,0
Mexico,ME05,2.2,6.9,1,0,0.7,7.2,0.7,1,1.1
Mexico,ME06,1.8,8.3,1.1,0,1.4,6.7,3.9,1.9,0.5
Mexico,ME07,0,7.3,0,0,1.3,8,0,0,0
Mexico,ME08,1.2,6,0.9,0,0,8.3,0,1.3,1.2
Mexico,ME09,4.3,6.9,1.7,0,1.8,3.7,0,3.4,1.5
Mexico,ME10,1,6.1,0.1,0,1.6,7.4,0.1,0.2,0.7
Mexico,ME11,0,6.7,0.5,0,2.3,3.2,1.3,0,0.1
Mexico,ME12,0.4,7.9,0,0,2.5,5.9,0,0,0
Mexico,ME13,0.5,6.7,0,0.3,2.3,4.5,0.4,0,0.4
Mexico,ME14,1.5,7.5,0.8,0,1.7,5.2,2.2,1.3,0.6
Mexico,ME15,1.7,6.4,0.8,0,2.2,3.4,2.1,0.6,0.4
Mexico,ME16,0,7.7,0.2,0,2.2,4.4,0,0,0.1
Mexico,ME17,1.6,7.5,0.5,0,2.3,0,1.7,1.2,0.5
Mexico,ME18,1.5,7.5,0.3,0,2.2,8.4,0.2,0.7,0.6
Mexico,ME19,2.8,7,1.8,0,2.1,6.7,2.6,2.7,1.2
Mexico,ME20,0,7.9,0,0,2.1,7,0,0,0
Mexico,ME21,0.5,7.4,0,0,1,4.5,0,0,0
Mexico,ME22,1.7,6,1,2.6,1.9,3.1,3.7,1.3,0.6
Mexico,ME23,2.1,8.3,0.8,0,1.7,9.6,0,2.2,0
Mexico,ME24,1,7.2,0.2,0,2.1,6.2,2.8,0.3,0.5
Mexico,ME25,2.7,7.2,0.7,0,1.4,7.7,0,1.3,0.4
Mexico,ME26,2.4,7.1,1.3,0,0.5,8.4,1.9,2.6,0.8
Mexico,ME27,1.6,5.7,0.3,0,0.9,7.3,0,0,0
Mexico,ME28,2.1,6.4,0.8,0,1.5,8.2,0,1.8,0.5
Mexico,ME29,1,6.4,0,1.2,2.3,5.5,0,0,0
Mexico,ME30,0.7,7,0.1,0,0.8,5.7,1.3,0,0.1
Mexico,ME31,1.2,8.7,0.5,7.4,1.2,9.8,3.1,0.5,0
Mexico,ME32,0,6.4,0.1,0,2,7.8,0.7,0,0.7
Netherlands,NL1,7,8.2,3.4,10,7.1,5,7.3,9.8,6.7
Netherlands,NL2,6.9,8.7,3.9,9.9,7.4,3.3,7.3,9.8,6.3
Netherlands,NL3,7.3,8.6,4.5,9,7.7,3.4,7.1,9.8,6.1
Netherlands,NL4,6.8,8.7,4.2,10,7.4,2.8,6.7,9.5,6.7
New Zealand,NZ01,6.8,7.6,3.3,9.4,7.5,10,6.7,8.3,7
New Zealand,NZ02,6.7,9.4,4,9.5,7.8,10,7.2,8.3,7.5
Norway,NO01,8.7,9.8,6.7,9.2,8.1,8.5,8.2,10,5
Norway,NO02,7.6,9.3,5.2,10,6.9,9.3,7.3,9.4,7
Norway,NO03,7.6,9.2,5.5,10,7.4,8.4,7.4,9.5,6.6
Norway,NO04,8,9.9,5.9,9.8,7.7,8.8,7.6,9.5,6.3
Norway,NO05,8.1,10,5.7,10,8.6,9.8,7.8,9.6,6.4
Norway,NO06,8.3,9.6,5.4,10,7.9,10,7.7,10,6.3
Norway,NO07,7.3,9.3,5.4,10,7.1,10,6.8,9.1,6.5
Poland,PL11,9.6,6,1.6,7,0.7,1,1.6,6.9,0.8
Poland,PL12,10,6.4,2.8,7.7,3.2,2.8,3.1,7.1,1
Poland,PL21,10,4.2,1.3,8.9,3.9,1.3,2.1,7.1,0.4
Poland,PL22,10,4.7,2.1,7.8,1.7,0.5,1.7,7.1,0.7
Poland,PL31,9.5,5.2,1,7.6,2.4,2.3,1.1,6.4,0.5
Poland,PL32,9.6,3,0.7,9.9,4.2,2.2,1.1,6.4,0
Poland,PL33,9.6,4.7,1.1,7.7,2.5,2.4,0.5,6.4,0.3
Poland,PL34,9.3,4.3,1,8.9,3.8,3.7,1.1,6.4,1
Poland,PL41,10,4.6,1.8,9.1,2.7,2,1.6,7.3,0.5
Poland,PL42,9.6,2.6,1.5,6.9,2.3,4.3,1,7.3,0.8
Poland,PL43,9.9,4.4,1.2,6.3,2,2.9,0.5,7.3,0.7
Poland,PL51,9.9,3.3,1.7,7.4,2.4,3.3,1.3,6.6,1
Poland,PL52,9.9,3.4,1.1,8.8,3.1,1.3,0,6.6,1
Poland,PL61,9.6,3.1,1.3,8.4,2.1,2.8,0.9,6.8,0.3
Poland,PL62,9.2,3.1,1.1,8.2,2.3,4.3,0.2,6.8,0.3
Poland,PL63,9.8,4,1.6,7.9,3.4,5.1,2.2,6.8,0.5
Portugal,PT11,1,4.2,2.4,10,7.1,6.8,3.9,5.4,5.3
Portugal,PT15,1.9,3.5,3.4,7.2,6.7,7.4,3,5.9,5.5
Portugal,PT16,1.1,6.8,2.6,9.3,7,7.6,3.4,5,6.7
Portugal,PT17,3.4,3.5,4.5,8.5,7.1,7.5,4.2,7.6,5.3
Portugal,PT18,1.3,4.3,2.9,9.3,5.8,7.6,3.4,4.3,6.3
Portugal,PT20,0,3.6,3.2,7.6,2,9.9,0,6.5,5
Portugal,PT30,0.9,2.8,3.3,7.8,2.5,9.1,2.7,5.9,4.1
Slovak Republic,SK01,10,8,4,6.9,3.1,1.9,4.3,7.5,1.6
Slovak Republic,SK02,10,4.8,2,7.5,1.2,1.7,3.9,7.2,1.6
Slovak Republic,SK03,10,2.8,1.8,8.7,1,3.5,4,6.2,1.5
Slovak Republic,SK04,9.8,1.5,1.4,9,1,2.8,2.9,6.8,1.4
Slovenia,SI01,8.8,5.4,3,7.8,5,3.3,0,7.4,3.1
Slovenia,SI02,9.4,6.6,3.6,7.1,7.8,2.6,0.7,7.7,3.1
Spain,ES11,4.1,1.7,3.8,10,8.9,7.7,4.3,5.9,6.6
Spain,ES12,5.4,1,4.4,8.8,8.1,6.6,4.8,7,6.4
Spain,ES13,5.6,2.1,4.3,10,9.2,7.2,6.3,7.4,6.3
Spain,ES21,6.8,3.9,6.2,10,9.5,7.9,5.4,7.4,6.5
Spain,ES22,5.8,3.4,5.9,9.9,10,6.3,5.7,7.1,6.5
Spain,ES23,5,2,4.6,9.9,9.7,6.3,6.5,6.4,6.6
Spain,ES24,5.3,2.2,4.9,10,9.3,4.8,6.2,6.9,6.7
Spain,ES30,6.5,2.6,5.5,9.7,10,5.9,6.6,8.3,5.2
Spain,ES41,4.8,1.8,4.2,10,10,6.8,6.2,6.1,7.2
Spain,ES42,3.1,0.8,3.2,10,9.6,6.1,7.2,6.2,5.8
Spain,ES43,2.2,0.2,2.8,10,8.1,7.1,6.8,5.6,6.1
Spain,ES51,4.5,1.8,5.1,9,9.3,5.7,5,7.6,5.2
Spain,ES52,4,1.1,3.5,9.5,8.4,6.1,6.8,6.4,5.7
Spain,ES53,3.9,2.1,4.2,9.6,8.5,7.4,4.1,7.3,6
Spain,ES61,3.1,0,3,9.4,7.3,6.2,5.7,6.3,5.1
Spain,ES62,3.1,1,3.1,9.6,8.3,5.9,6.8,6.5,4.8
Spain,ES63,2.2,0,4,5.5,6.3,5.7,2.5,7.9,1.9
Spain,ES64,3.5,0,3.5,10,7.4,4.7,1.7,6.5,2.4
Spain,ES70,3.4,0.6,3.1,9.7,8.3,8.1,3.8,6.7,4.1
Sweden,SE11,8.7,8.8,5.6,9.2,8.7,8.2,9.1,10,3.7
Sweden,SE12,8.2,7.4,4.3,10,8.2,8.3,9.1,9.8,4.6
Sweden,SE21,7.9,8.3,4.2,9.3,8.3,7.7,9.1,9.8,5.8
Sweden,SE22,8.2,7.2,4.2,9.4,8.2,5.4,8.7,10,4.5
Sweden,SE23,8.3,8.2,4.5,9.1,8.3,7.5,9.1,9.8,4.7
Sweden,SE31,8.2,7.6,4,10,7.5,9,8.8,9.2,5.3
Sweden,SE32,8.3,7.7,4.1,9.2,7,9.6,8.9,9.5,5.1
Sweden,SE33,9,7.8,4.1,9.4,7.3,9.8,9.1,9.9,4.8
Switzerland,CH01,8.1,8.3,8.3,9.7,9.8,3.9,1.1,9.3,3.5
Switzerland,CH02,8.4,9.8,6.9,9.9,9,3.7,1.6,8.9,4.5
Switzerland,CH03,8.8,9.7,8.4,9.9,9.3,2.9,1.5,9.5,4.7
Switzerland,CH04,8.8,9.8,9.9,10,9.6,1,1.1,9.5,4.1
Switzerland,CH05,8.2,9.9,7.4,10,9,3,1.1,9.2,5
Switzerland,CH06,8.4,10,8.6,10,9.5,3.9,2.3,9.2,4.5
Switzerland,CH07,8.3,8.3,6.2,10,10,4.5,2.7,7.4,4.3
Turkey,TR10,2.7,2.7,4,8,2.4,3.9,9.4,6.5,0.3
Turkey,TR21,1.7,5.7,2.4,6.9,0.8,3.5,10,6.5,1.1
Turkey,TR22,0.6,5.1,2.4,5.8,1.1,3.7,10,3.2,2
Turkey,TR31,2.3,2.4,3.4,7,1.9,3.7,9.8,5.6,1.4
Turkey,TR32,0,5.9,3.4,6,2.4,3.2,10,2.9,1.5
Turkey,TR33,0,5.5,3.4,6.4,0.5,2.3,10,1.8,1
Turkey,TR41,2.2,4.7,2.5,7.8,0.5,0.9,10,5.3,1
Turkey,TR42,1.7,4.4,2.5,7.5,1.2,2.3,9.9,5.1,0.7
Turkey,TR51,4.6,3.3,3.2,8,2.9,0.9,9.9,5.3,1.4
Turkey,TR52,0,5,3.2,7.1,1.3,0.8,9.8,3,1
Turkey,TR61,1.2,5.1,2.2,6.2,2.9,2.6,9.5,4.5,0.9
Turkey,TR62,1.1,3.1,2.2,6,1.6,0,9.3,2.4,0
Turkey,TR63,0,2.9,2.2,7.5,2.5,0,9.4,2.7,0
