Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Italy,Sicily,ITG1,4.4,0.5,2.6,9.1,7.8,5.4,4.8,4.5,3.1
Italy,Sardinia,ITG2,3.8,2.1,3.2,9.2,9.1,7.0,5.6,6.2,3.6
Italy,Province of Bolzano-Bozen,ITH1,5.1,8.8,6.0,10.0,9.9,3.1,8.5,6.4,2.2
Italy,Province of Trento,ITH2,6.7,7.3,5.0,10.0,10.0,3.8,8.0,6.7,2.2
Italy,Veneto,ITH3,5.5,6.9,5.0,10.0,9.6,0.0,8.3,6.5,3.4
Italy,Friuli-Venezia Giulia,ITH4,6.0,6.7,5.2,10.0,9.0,1.2,7.5,6.3,4.0
Italy,Emilia–Romagna,ITH5,5.8,7.3,5.7,9.8,9.5,1.7,8.5,6.6,3.4
Italy,Tuscany,ITI1,4.9,6.6,4.8,10.0,9.6,5.5,7.9,6.3,3.6
Italy,Umbria,ITI2,6.6,5.9,4.3,9.8,9.6,6.0,7.9,6.2,3.7
Italy,Marche,ITI3,5.5,5.9,4.6,10.0,9.8,6.5,8.0,6.3,2.8
Italy,Lazio,ITI4,6.7,4.8,4.9,9.8,8.7,5.9,7.5,6.2,2.2
Japan,Hokkaido,JPA,7.3,8.7,4.2,9.7,9.7,7.1,3.6,5.8,5.5
Japan,Tohoku,JPB,7.0,9.5,4.0,10.0,9.0,5.9,3.7,5.9,5.6
Japan,"Northern-Kanto, Koshin",JPC,7.7,9.7,4.5,9.8,9.8,4.2,3.6,6.9,5.3
Japan,Southern-Kanto,JPD,9.0,9.3,5.5,9.7,10.0,2.3,4.0,9.9,4.7
Japan,Hokuriku,JPE,7.1,9.8,4.5,10.0,10.0,4.1,3.9,7.1,7.9
Japan,Toukai,JPF,7.6,9.8,4.9,9.8,9.9,4.4,4.0,7.8,5.7
Japan,Kansai region,JPG,8.3,8.8,4.4,9.1,9.8,5.0,3.7,8.8,7.1
Japan,Chugoku,JPH,8.2,9.8,4.3,9.7,10.0,5.6,3.5,6.5,7.6
Japan,Shikoku,JPI,7.3,9.6,3.8,9.3,9.8,5.0,3.5,5.6,6.3
Japan,"Kyushu, Okinawa",JPJ,7.7,9.0,3.8,9.7,9.9,4.2,3.5,5.7,5.8
Korea,Capital Region (KR),KR01,8.8,7.8,3.5,7.5,8.8,0.0,7.0,10.0,2.1
Korea,Gyeongnam Region,KR02,7.7,7.9,3.3,6.5,7.0,3.2,7.4,7.4,2.7
Korea,Gyeonbuk Region,KR03,6.9,8.5,2.9,8.1,7.4,1.2,7.7,7.2,3.2
Korea,Jeolla Region,KR04,6.5,8.6,2.7,7.7,7.5,0.0,7.4,7.4,3.2
Korea,Chungcheong Region,KR05,7.1,8.3,2.9,7.1,7.9,0.0,6.8,8.7,2.8
Korea,Gangwon Region,KR06,6.4,7.9,2.6,8.2,7.4,1.3,7.4,7.2,2.9
Korea,Jeju,KR07,7.4,9.7,3.2,5.9,9.3,3.7,6.6,6.5,2.6
Luxembourg,Luxembourg,LU00,8.0,7.0,8.3,9.1,7.5,4.1,10.0,7.3,6.1
Mexico,Aguascalientes,ME01,1.9,6.5,0.8,1.2,2.5,6.9,0.2,1.7,0.9
Mexico,Baja California Norte,ME02,1.9,6.7,1.4,0.0,0.8,8.0,0.0,2.9,0.9
Mexico,Baja California Sur,ME03,2.5,7.5,1.5,0.0,2.5,8.4,0.0,3.3,0.4
Mexico,Campeche,ME04,1.5,8.0,0.8,0.0,2.6,9.4,4.4,0.5,0.0
Mexico,Coahuila,ME05,2.2,6.9,1.0,0.0,0.7,7.2,0.7,1.0,1.1
Mexico,Colima,ME06,1.8,8.3,1.1,0.0,1.4,6.7,3.9,1.9,0.5
Mexico,Chiapas,ME07,0.0,7.3,0.0,0.0,1.3,8.0,0.0,0.0,0.0
Mexico,Chihuahua,ME08,1.2,6.0,0.9,0.0,0.0,8.3,0.0,1.3,1.2
Mexico,Federal District (MX),ME09,4.3,6.9,1.7,0.0,1.8,3.7,0.0,3.4,1.5
Mexico,Durango,ME10,1.0,6.1,0.1,0.0,1.6,7.4,0.1,0.2,0.7
Mexico,Guanajuato,ME11,0.0,6.7,0.5,0.0,2.3,3.2,1.3,0.0,0.1
Mexico,Guerrero,ME12,0.4,7.9,0.0,0.0,2.5,5.9,0.0,0.0,0.0
Mexico,Hidalgo,ME13,0.5,6.7,0.0,0.3,2.3,4.5,0.4,0.0,0.4
Mexico,Jalisco,ME14,1.5,7.5,0.8,0.0,1.7,5.2,2.2,1.3,0.6
Mexico,Mexico,ME15,1.7,6.4,0.8,0.0,2.2,3.4,2.1,0.6,0.4
Mexico,Michoacan,ME16,0.0,7.7,0.2,0.0,2.2,4.4,0.0,0.0,0.1
Mexico,Morelos,ME17,1.6,7.5,0.5,0.0,2.3,0.0,1.7,1.2,0.5
Mexico,Nayarit,ME18,1.5,7.5,0.3,0.0,2.2,8.4,0.2,0.7,0.6
Mexico,Nuevo Leon,ME19,2.8,7.0,1.8,0.0,2.1,6.7,2.6,2.7,1.2
Mexico,Oaxaca,ME20,0.0,7.9,0.0,0.0,2.1,7.0,0.0,0.0,0.0
Mexico,Puebla,ME21,0.5,7.4,0.0,0.0,1.0,4.5,0.0,0.0,0.0
Mexico,Queretaro,ME22,1.7,6.0,1.0,2.6,1.9,3.1,3.7,1.3,0.6
Mexico,Quintana Roo,ME23,2.1,8.3,0.8,0.0,1.7,9.6,0.0,2.2,0.0
Mexico,San Luis Potosi,ME24,1.0,7.2,0.2,0.0,2.1,6.2,2.8,0.3,0.5
Mexico,Sinaloa,ME25,2.7,7.2,0.7,0.0,1.4,7.7,0.0,1.3,0.4
Mexico,Sonora,ME26,2.4,7.1,1.3,0.0,0.5,8.4,1.9,2.6,0.8
Mexico,Tabasco,ME27,1.6,5.7,0.3,0.0,0.9,7.3,0.0,0.0,0.0
Mexico,Tamaulipas,ME28,2.1,6.4,0.8,0.0,1.5,8.2,0.0,1.8,0.5
Mexico,Tlaxcala,ME29,1.0,6.4,0.0,1.2,2.3,5.5,0.0,0.0,0.0
Mexico,Veracruz,ME30,0.7,7.0,0.1,0.0,0.8,5.7,1.3,0.0,0.1
Mexico,Yucatan,ME31,1.2,8.7,0.5,7.4,1.2,9.8,3.1,0.5,0.0
Mexico,Zacatecas,ME32,0.0,6.4,0.1,0.0,2.0,7.8,0.7,0.0,0.7
Netherlands,North Netherlands,NL1,7.0,8.2,3.4,10.0,7.1,5.0,7.3,9.8,6.7
Netherlands,East Netherlands,NL2,6.9,8.7,3.9,9.9,7.4,3.3,7.3,9.8,6.3
Netherlands,West Netherlands,NL3,7.3,8.6,4.5,9.0,7.7,3.4,7.1,9.8,6.1
Netherlands,South Netherlands,NL4,6.8,8.7,4.2,10.0,7.4,2.8,6.7,9.5,6.7
New Zealand,North Island,NZ01,6.8,7.6,3.3,9.4,7.5,10.0,6.7,8.3,7.0
New Zealand,South Island,NZ02,6.7,9.4,4.0,9.5,7.8,10.0,7.2,8.3,7.5
Norway,Oslo and Akershus,NO01,8.7,9.8,6.7,9.2,8.1,8.5,8.2,10.0,5.0
Norway,Hedmark and Oppland,NO02,7.6,9.3,5.2,10.0,6.9,9.3,7.3,9.4,7.0
Norway,South-Eastern Norway,NO03,7.6,9.2,5.5,10.0,7.4,8.4,7.4,9.5,6.6
Norway,Agder and Rogaland,NO04,8.0,9.9,5.9,9.8,7.7,8.8,7.6,9.5,6.3
Norway,Western Norway,NO05,8.1,10.0,5.7,10.0,8.6,9.8,7.8,9.6,6.4
Norway,Trøndelag,NO06,8.3,9.6,5.4,10.0,7.9,10.0,7.7,10.0,6.3
Norway,Northern Norway,NO07,7.3,9.3,5.4,10.0,7.1,10.0,6.8,9.1,6.5
Poland,Lódzkie,PL11,9.6,6.0,1.6,7.0,0.7,1.0,1.6,6.9,0.8
Poland,Mazowieckie,PL12,10.0,6.4,2.8,7.7,3.2,2.8,3.1,7.1,1.0
Poland,Malopolskie,PL21,10.0,4.2,1.3,8.9,3.9,1.3,2.1,7.1,0.4
Poland,Slaskie,PL22,10.0,4.7,2.1,7.8,1.7,0.5,1.7,7.1,0.7
Poland,Lubelskie,PL31,9.5,5.2,1.0,7.6,2.4,2.3,1.1,6.4,0.5
Poland,Podkarpackie,PL32,9.6,3.0,0.7,9.9,4.2,2.2,1.1,6.4,0.0
Poland,Swietokrzyskie,PL33,9.6,4.7,1.1,7.7,2.5,2.4,0.5,6.4,0.3
Poland,Podlaskie,PL34,9.3,4.3,1.0,8.9,3.8,3.7,1.1,6.4,1.0
Poland,Wielkopolskie,PL41,10.0,4.6,1.8,9.1,2.7,2.0,1.6,7.3,0.5
Poland,Zachodniopomorskie,PL42,9.6,2.6,1.5,6.9,2.3,4.3,1.0,7.3,0.8
Poland,Lubuskie,PL43,9.9,4.4,1.2,6.3,2.0,2.9,0.5,7.3,0.7
Poland,Dolnoslaskie,PL51,9.9,3.3,1.7,7.4,2.4,3.3,1.3,6.6,1.0
Poland,Opolskie,PL52,9.9,3.4,1.1,8.8,3.1,1.3,0.0,6.6,1.0
Poland,Kujawsko-Pomorskie,PL61,9.6,3.1,1.3,8.4,2.1,2.8,0.9,6.8,0.3
Poland,Warminsko-Mazurskie,PL62,9.2,3.1,1.1,8.2,2.3,4.3,0.2,6.8,0.3
Poland,Pomorskie,PL63,9.8,4.0,1.6,7.9,3.4,5.1,2.2,6.8,0.5
Portugal,North (PT),PT11,1.0,4.2,2.4,10.0,7.1,6.8,3.9,5.4,5.3
Portugal,Algarve,PT15,1.9,3.5,3.4,7.2,6.7,7.4,3.0,5.9,5.5
Portugal,Central Portugal,PT16,1.1,6.8,2.6,9.3,7.0,7.6,3.4,5.0,6.7
Portugal,Lisbon,PT17,3.4,3.5,4.5,8.5,7.1,7.5,4.2,7.6,5.3
Portugal,Alentejo,PT18,1.3,4.3,2.9,9.3,5.8,7.6,3.4,4.3,6.3
Portugal,Azores,PT20,0.0,3.6,3.2,7.6,2.0,9.9,0.0,6.5,5.0
Portugal,Madeira,PT30,0.9,2.8,3.3,7.8,2.5,9.1,2.7,5.9,4.1
Slovak Republic,Bratislava Region,SK01,10.0,8.0,4.0,6.9,3.1,1.9,4.3,7.5,1.6
Slovak Republic,West Slovakia,SK02,10.0,4.8,2.0,7.5,1.2,1.7,3.9,7.2,1.6
Slovak Republic,Central Slovakia,SK03,10.0,2.8,1.8,8.7,1.0,3.5,4.0,6.2,1.5
